price,make,model,year,mileage,color,vin,state,country
9200,ford,door,2017,21770,black,1ftew1ep8hfa10123,texas,usa
26500,chrysler,pacifica,2017,18375,gray,2c4rc1eg2hr669530,michigan,usa
24802,chevrolet,colorado,2017,14158,gray,1gcgtcen9h1202076,michigan,usa
7070,ford,mpv,2017,30318,black,1fm5k7d82hgb21314,texas,usa
28500,ford,door,2017,48086,red,1ftew1ep2hkd15978,south carolina,usa
47500,cadillac,door,2017,26562,black,1gys4ckj7hr359884,michigan,usa
23500,ford,explorer,2017,57611,black,1fm5k8f80hgc67231,south carolina,usa
23505,chevrolet,colorado,2017,47357,black,1gcptce16h1176629,michigan,usa
10940,ford,door,2017,84916,white,1ftew1ef1hke25038,texas,usa
32100,ford,f-150,2017,24521,gray,1ftfw1eg1hfb38806,south carolina,usa
53000,chevrolet,3500,2018,16105,black,1gc4k1ey0jf149152,washington,usa
6830,ford,mpv,2017,35888,gold,1fm5k7dh9hgb05630,texas,usa
11900,dodge,caravan,2017,59537,gray,2c4rdgcg3hr864989,south carolina,usa
26414,chevrolet,1500,2017,55222,black,3gcukrec3hg429109,michigan,usa
4160,dodge,mpv,2018,32870,gray,3c4pdcab8jt166940,florida,usa
19405,chevrolet,door,2017,39687,silver,1gnkvgkd0hj145877,michigan,usa
5690,dodge,mpv,2018,47085,silver,2c4rdgeg8jr337145,florida,usa
25900,chrysler,van,2017,32224,silver,2c4rc1gg4hr635019,south carolina,usa
24005,chevrolet,1500,2017,51293,beige,1gcukrecxhf153500,michigan,usa
5090,dodge,mpv,2018,42989,gray,2c4rdgcg2jr218218,florida,usa
19500,chrysler,300,2017,31311,gray,2c3ccabg5hh538726,arizona,usa
32012,chevrolet,1500,2017,46091,white,3gcuksej6hg353147,michigan,usa
6800,dodge,dart,2016,49033,black,1c3cdffh0gd823262,michigan,usa
4260,dodge,mpv,2018,33957,gray,3c4pdcabxjt311007,florida,usa
0,dodge,van,2008,177948,orange,2d8hn44h88r669549,utah,usa
31802,chevrolet,2500,2017,19845,silver,1gc1kveg3hf189737,michigan,usa
7210,dodge,doors,2018,38910,black,2c3cdxct1jh233225,florida,usa
0,dodge,door,2014,123660,silver,1c3cdzab0en111068,utah,usa
28402,chevrolet,1500,2017,31234,black,3gcukrec4hg196549,michigan,usa
6800,dodge,doors,2018,36767,gray,2c3cdxhgxjh125388,florida,usa
33300,cadillac,esv,2015,57932,gray,1gys4tkj0fr538846,washington,usa
10780,dodge,mpv,2018,19420,white,1c4sdjct1jc174166,florida,usa
6700,ford,cutaway,2014,204155,beige,1fdfe4fs7eda23699,pennsylvania,usa
20000,chevrolet,1500,2016,93493,white,3gcuknec9gg342967,washington,usa
6440,chrysler,doors,2018,20942,gray,2c3ccakg8jh168457,florida,usa
19900,ford,door,2016,86826,gray,1fm5k8f8xggc51519,south carolina,usa
37000,chevrolet,door,2015,45787,white,1gc1kwegxff145382,washington,usa
4040,dodge,mpv,2018,50765,red,3c4pdcab6jt273002,florida,usa
22300,ford,explorer,2016,62774,black,1fm5k8fh9ggc37790,south carolina,usa
31200,chevrolet,door,2011,76326,gray,1gc1kxc86bf208814,washington,usa
4290,dodge,mpv,2018,39029,white,3c4pdcab0jt474412,florida,usa
22800,ford,el,2016,72885,silver,1fmjk1ht3gef52975,south carolina,usa
19002,cadillac,door,2016,46467,white,1g6ah1rx1g0193887,michigan,usa
4160,dodge,mpv,2018,6743,gray,3c4pdcab8jt384019,florida,usa
18500,ford,edge,2016,33514,white,2fmpk3j98gbb59781,south carolina,usa
39000,bmw,series,2016,39917,blue,wba7f2c57gg421020,michigan,usa
6060,dodge,doors,2018,32504,black,3c4pddgg1jt523058,florida,usa
28800,ford,door,2016,77638,white,1ftew1ep1gfc64335,south carolina,usa
40000,bmw,series,2016,31727,gray,wba7f2c55gg415264,michigan,usa
6140,dodge,doors,2018,52966,silver,2c3cdxbg0jh187083,florida,usa
21000,ford,flex,2016,24157,gray,2fmhk6c89gba05297,south carolina,usa
20105,buick,door,2016,51393,beige,5gakvbkd8gj196085,michigan,usa
6760,dodge,doors,2018,35461,white,2c3cdzag7jh321665,florida,usa
25800,ford,door,2014,47055,brown,1ft7x2b62eea29551,pennsylvania,usa
39000,bmw,series,2016,33110,black,wba7f2c57gg419607,michigan,usa
5470,dodge,mpv,2018,39721,black,3c4pdcgg9jt216280,florida,usa
14600,ford,door,2014,75785,black,1fm5k8f81egb23411,pennsylvania,usa
24502,chevrolet,1500,2016,33624,black,3gcuknec6gg150809,michigan,usa
15110,ford,door,2017,42289,white,1ft7w2bt7hec67263,texas,usa
7900,ford,door,2014,79422,white,1fmcu0g9xeud52262,new york,usa
27305,chevrolet,door,2016,28844,blue,3gcukrec5gg383569,michigan,usa
15290,ford,door,2017,66582,white,1ft7w2bt0hef21363,texas,usa
26500,ford,door,2015,61436,silver,1ftew1cf3fke12825,south carolina,usa
25502,chevrolet,door,2016,58303,silver,3gcukrec0gg380000,michigan,usa
7320,ford,mpv,2017,55618,white,1fmzk1cmxhkb51025,texas,usa
3800,chevrolet,van,2009,261648,white,1gbhg396191112177,michigan,usa
24502,chevrolet,door,2016,33045,white,3gcukrec4gg223800,michigan,usa
4140,ford,door,2017,40747,white,3fa6p0h73hr358945,texas,usa
1400,dodge,pk,2002,185460,black,1b7hg38n62s587845,michigan,usa
18402,cadillac,srx,2016,26667,gray,3gyfnae36gs538333,michigan,usa
4160,ford,door,2017,37176,white,3fa6p0hd3hr199785,texas,usa
175,chrysler,door,2000,231240,red,2c3hd46r3yh208325,north carolina,usa
24503,chevrolet,colorado,2016,18006,brown,1gchtde32g1339478,michigan,usa
15840,ford,door,2017,72445,white,1ft7w2bt8hec67434,texas,usa
20500,ford,door,2014,123355,black,1ftfw1et9efb99877,south carolina,usa
21003,chevrolet,1500,2016,44116,silver,1gcvknec1gz396932,michigan,usa
4200,ford,door,2017,60219,red,3fa6p0hd7hr273550,texas,usa
17400,ford,door,2011,135077,red,1ftfw1ef1bfa03548,georgia,usa
32001,chevrolet,door,2016,32058,black,3gcuktec5gg350066,michigan,usa
0,ford,mpv,2017,76858,white,1fbax2cv0hkb32599,texas,usa
15700,ford,cab,2011,309564,white,1fduf5gt8bea80212,south carolina,usa
31009,chevrolet,door,2016,33928,white,3gcuksec3gg369662,michigan,usa
3740,ford,wagon,2017,90618,white,nm0ls7e76h1312963,texas,usa
5000,dodge,pickup,2001,109360,white,1b7hc16x01s213315,georgia,usa
31002,chevrolet,door,2016,71809,white,1gc1kve82gf207345,michigan,usa
3160,ford,doors,2017,31563,gray,1fadp3e24hl348263,texas,usa
